periode,side,RTH_dage_n,signaler_n,dage_med_signal_n,dage_med_signal_pct,dage_med_signal_ci95_lo_pct,dage_med_signal_ci95_hi_pct,dage_med_signal_ci95_lo_n,dage_med_signal_ci95_hi_n,signaler_pr_dag_p50,signaler_pr_dag_p90,zoner_dannet_n,zoner_beroert_n,zoner_doede_ved_kontraktskift_n,zoner_doede_ved_kontraktskift_pct,zoner_doede_ved_kontraktskift_ci95_lo_pct,zoner_doede_ved_kontraktskift_ci95_hi_pct,zoner_aldrig_beroert_n,zoner_aldrig_beroert_pct,zoner_aldrig_beroert_ci95_lo_pct,zoner_aldrig_beroert_ci95_hi_pct,beroeringer_n,beroeringer_uden_for_vindue_n,beroeringer_uden_for_vindue_pct,beroeringer_uden_for_vindue_ci95_lo_pct,beroeringer_uden_for_vindue_ci95_hi_pct,beroeringer_i_vindue_n,afvist_af_stoploft_n,afvist_af_stoploft_pct,afvist_af_stoploft_ci95_lo_pct,afvist_af_stoploft_ci95_hi_pct,zonehoejde_pt_p10,zonehoejde_pt_p50,zonehoejde_pt_p90,kontrakter_p10,kontrakter_p50,kontrakter_p90,kontrakter_nul_n,omk_R_brutto,omk_R_netto_p10,omk_R_netto_p50,omk_R_netto_p90,be_WR_pct_brutto,be_WR_pct_netto_p50,be_WR_pct_netto_p90,zonealder_timer_p50,zonealder_timer_p90,dannet_uden_for_RTH_n,dannet_uden_for_RTH_pct,dannet_uden_for_RTH_ci95_lo_pct,dannet_uden_for_RTH_ci95_hi_pct,zoner_over_hul_n,signaler_fra_zoner_over_hul_n,zoner_basis_og_udbrud_i_hver_sin_kontrakt_n
2016-2023,alle,2012,6915,1940,96.42147117296223,95.5173131227875,97.14870442666877,1921.8083400304845,1954.6319330645758,3.0,6.0,26278.0,25960.0,314.0,1.194915899231296,1.0704912502854227,1.333607639857741,4.0,0.015221858588933709,0.005919637725544108,0.03913602870957893,25960.0,18449.0,71.06702619414484,70.51233857559977,71.61547990360309,7511.0,596.0,7.935028624683797,7.345057042502321,8.568005999127806,16.84325738255547,41.350542501976,90.92045355800151,1.0,3.0,7.0,0.0,0.0,0.014446694616408786,0.03176500042139065,0.07798373088325179,33.33333333333333,34.392166680713025,35.93279102944173,0.0,17.75,1568.0,22.67534345625452,21.703738358548495,23.67729078496183,684.0,73.0,11.0
2016-2023,demand,2012,3605,1693,84.14512922465208,82.48426615264445,85.67585596349737,1659.5834349912063,1723.7982219855671,2.0,3.0,13368.0,13160.0,205.0,1.533512866546978,1.338694858547005,1.7561777518944304,3.0,0.02244165170556553,0.007632473645878681,0.06596590733254848,13160.0,9228.0,70.12158054711246,69.3337682503455,70.89764912555513,3932.0,327.0,8.316378433367243,7.493438423857491,9.220686514950508,16.690230354271286,42.534197315484036,91.49644646180522,1.0,2.0,7.0,0.0,0.0,0.01435576045762529,0.030881034153707583,0.07869873542937662,33.33333333333333,34.36270113845692,35.95662451431256,0.0,19.25,826.0,22.9126213592233,21.56997555764367,24.312933894460496,316.0,39.0,7.0
2016-2023,supply,2012,3310,1669,82.95228628230616,81.24669135563556,84.53229112326115,1634.6834300753874,1700.7896974000143,1.0,3.0,12910.0,12800.0,109.0,0.8443067389620449,0.7004448992578566,1.0174131023917388,1.0,0.0077459333849728895,0.0013673605296094947,0.04386673065325975,12800.0,9221.0,72.0390625,71.25503412417406,72.80986638358074,3579.0,269.0,7.5160659402067616,6.6971136249427685,8.42611929084032,17.01746066889231,39.81354214523263,89.99059882056616,1.0,3.0,7.0,0.0,0.0,0.014595969562014463,0.032991287348796444,0.07718544269224609,33.33333333333333,34.43304291162655,35.90618142307487,0.0,15.524999999999977,742.0,22.416918429003022,21.028646491210715,23.86913987875571,368.0,34.0,4.0
2016,alle,252,883,246,97.61904761904762,94.90377147796723,98.90432401456333,239.1575041244774,249.23889651669958,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,demand,252,450,227,90.07936507936508,85.76540127380888,93.18974576573768,216.12881120999836,234.83815932965896,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,supply,252,433,214,84.92063492063492,79.98015301739487,88.81245034379421,201.54998560383507,223.8073748663614,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,alle,251,920,246,98.00796812749005,95.42240543380413,99.14619463435318,239.51023763884837,248.85694853222648,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,demand,251,494,219,87.25099601593625,82.5563221511002,90.82263308850733,207.2163685992615,227.9648090521534,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,supply,251,426,217,86.45418326693228,81.66735263629162,90.14199928268259,204.98505511709197,226.2564181995333,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,alle,251,872,244,97.21115537848605,94.35634718389174,98.64264956363225,236.83443143156828,247.59305040471693,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
