kerne,periode,side,RTH_dage_n,signaler_n,dage_med_signal_n,dage_med_signal_pct,dage_med_signal_ci95_lo_pct,dage_med_signal_ci95_hi_pct,dage_med_signal_ci95_lo_n,dage_med_signal_ci95_hi_n,signaler_pr_dag_p50,signaler_pr_dag_p90,zoner_dannet_n,zoner_beroert_n,zoner_doede_ved_kontraktskift_n,zoner_doede_ved_kontraktskift_pct,zoner_doede_ved_kontraktskift_ci95_lo_pct,zoner_doede_ved_kontraktskift_ci95_hi_pct,zoner_aldrig_beroert_n,zoner_aldrig_beroert_pct,zoner_aldrig_beroert_ci95_lo_pct,zoner_aldrig_beroert_ci95_hi_pct,beroeringer_n,beroeringer_uden_for_vindue_n,beroeringer_uden_for_vindue_pct,beroeringer_uden_for_vindue_ci95_lo_pct,beroeringer_uden_for_vindue_ci95_hi_pct,beroeringer_i_vindue_n,afvist_af_stoploft_n,afvist_af_stoploft_pct,afvist_af_stoploft_ci95_lo_pct,afvist_af_stoploft_ci95_hi_pct,zonehoejde_pt_p10,zonehoejde_pt_p50,zonehoejde_pt_p90,kontrakter_p10,kontrakter_p50,kontrakter_p90,kontrakter_nul_n,omk_R_brutto,omk_R_netto_p10,omk_R_netto_p50,omk_R_netto_p90,be_WR_pct_brutto,be_WR_pct_netto_p50,be_WR_pct_netto_p90,zonealder_timer_p50,zonealder_timer_p90,dannet_uden_for_RTH_n,dannet_uden_for_RTH_pct,dannet_uden_for_RTH_ci95_lo_pct,dannet_uden_for_RTH_ci95_hi_pct,zoner_over_hul_n,signaler_fra_zoner_over_hul_n,zoner_basis_og_udbrud_i_hver_sin_kontrakt_n,zoner_ugyldige_foer_aktiv_n,zoner_ugyldige_foer_aktiv_pct,zoner_ugyldige_foer_aktiv_ci95_lo_pct,zoner_ugyldige_foer_aktiv_ci95_hi_pct,zoner_aktive_ikke_beroert_n,zoner_aktive_ikke_beroert_pct,zoner_aktive_ikke_beroert_ci95_lo_pct,zoner_aktive_ikke_beroert_ci95_hi_pct,zoner_aldrig_aktive_n,zoner_aldrig_aktive_pct,zoner_aldrig_aktive_ci95_lo_pct,zoner_aldrig_aktive_ci95_hi_pct,risiko_pt_p10,risiko_pt_p50,risiko_pt_p90,tid_til_aktiv_timer_p50,tid_til_aktiv_timer_p90,tid_efter_aktiv_timer_p50,tid_efter_aktiv_timer_p90,beroering_lige_efter_aktivering_n,beroering_lige_efter_aktivering_pct,beroering_lige_efter_aktivering_ci95_lo_pct,beroering_lige_efter_aktivering_ci95_hi_pct,signaler_aktiveret_i_udbrudslyset_n
v2,2016-2023,alle,2012,5350,1817,90.30815109343936,88.9375791308728,91.52509777770219,1789.4240921131607,1841.4849672873681,2.0,5.0,26278.0,18200.0,521.0,1.9826470812086157,1.820982756029145,2.158348222202936,6.0,0.022832787883400565,0.010464878283693966,0.04981042185277127,18200.0,12358.0,67.9010989010989,67.21912288345015,68.57551977337579,5842.0,492.0,8.42177336528586,7.736665735528433,9.16152532523248,13.98461370198555,35.121807313468764,82.1132387301276,1.0,3.0,8.0,0.0,0.0,0.014542002365813194,0.03399856429624444,0.08538605927990275,33.33333333333333,34.46661880987481,36.17953530933009,2.5,76.75,2526.0,47.21495327102804,45.879706344545774,48.55419682027372,684.0,84.0,11.0,7551.0,28.735063551259607,28.191066023528,29.285277414921907,5.0,0.019027323236167137,0.008127600337013466,0.044537882948780666,1.0,0.003805464647233427,0.0006717611116638681,0.021554454771445873,15.383075072184106,38.633988044815645,90.32456260314038,0.25,1.0,1.75,74.75,1023.0,19.121495327102803,18.090019327703626,20.197282875530053,30.0
v2,2016-2023,demand,2012,2873,1413,70.22862823061631,68.19363464941443,72.18652503220086,1372.0559291462184,1452.3928836478815,1.0,3.0,13368.0,9403.0,341.0,2.5508677438659486,2.296921344935493,2.832076489302819,5.0,0.037402752842609216,0.015977245046953876,0.08753474216378031,9403.0,6282.0,66.80846538338828,65.84997403736637,67.75322862994302,3121.0,248.0,7.946171099006729,7.0481866060613285,8.947551590824117,13.724776307127106,36.05131377592551,82.86146543212122,1.0,3.0,8.0,0.0,0.0,0.014410690255843886,0.03312198042248058,0.0870027350710364,33.33333333333333,34.43739934741601,36.23342450236788,3.0,92.20000000000005,1342.0,46.710755308040376,44.89200915291335,48.538285748444295,316.0,43.0,7.0,3619.0,27.07211250748055,26.325557027467188,27.831841421522324,5.0,0.037402752842609216,0.015977245046953876,0.08753474216378031,0.0,0.0,2.710505431213761e-18,0.02872797162996664,15.09725393783982,39.65644515351806,91.14761197533336,0.25,1.25,2.25,91.85000000000014,512.0,17.821092934215105,16.464982073277717,19.263141062226524,13.0
v2,2016-2023,supply,2012,2477,1370,68.09145129224652,66.0218929256234,70.09205823926105,1328.360485663543,1410.2522117739322,1.0,3.0,12910.0,8797.0,180.0,1.39426800929512,1.2059809307632456,1.6114724194339198,1.0,0.0077459333849728895,0.0013673605296094947,0.04386673065325975,8797.0,6076.0,69.06900079572581,68.09498084875113,70.02637397508144,2721.0,244.0,8.967291436971701,7.9508099083692745,10.099468107936382,14.382020177297981,34.49061495969787,81.14246833945514,1.0,3.0,7.0,0.0,0.0,0.014715985581672999,0.0346207485858457,0.08302669510148071,33.33333333333333,34.487358286194855,36.10088983671602,2.25,68.5,1184.0,47.79975777149778,45.83755024679348,49.76877922611792,368.0,41.0,4.0,3932.0,30.4570100697134,29.669039517233326,31.256607463252323,0.0,0.0,0.0,0.029746832752621785,1.0,0.0077459333849728895,0.0013673605296094947,0.04386673065325975,15.820222195027782,37.93967645566767,89.25671517340065,0.25,1.0,1.5,67.75,511.0,20.62979410577311,19.082323471194698,22.26822132776007,17.0
v2,2016,alle,252,664,233,92.46031746031746,88.52524109925811,95.120310714915,223.08360757013045,239.70318300158578,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2,2016,demand,252,330,180,71.42857142857143,65.56188012306967,76.65176284856909,165.21593791013558,193.1624423783941,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2,2016,supply,252,334,179,71.03174603174604,65.14858801408917,76.28332082844517,164.17444179550472,192.2339684876818,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2,2017,alle,251,646,226,90.0398406374502,85.71032882938,93.16223803244414,215.1329253617438,233.83721746143476,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2,2017,demand,251,382,179,71.31474103585657,65.43110066517623,76.55578816176498,164.23206266959235,192.1550282860301,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2,2017,supply,251,264,162,64.54183266932272,58.44511073290186,70.20014986865615,146.69722793958368,176.20237617032697,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2,2018,alle,251,727,232,92.43027888446215,88.48072397023151,95.10065285349258,222.0866171652811,238.70263866226637,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2,2018,demand,251,391,180,71.71314741035856,65.84642674789303,76.92526373936482,165.27453113721154,193.08241198580572,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2,2018,supply,251,336,181,72.11155378486056,66.2622753154855,77.29421683208903,166.3183110418686,194.00848424854348,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2,2019,alle,252,730,235,93.25396825396825,89.46322937956484,95.7457906928171,225.4473380365034,241.2793925458991,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2,2019,demand,252,386,188,74.60317460317461,68.88725065519793,79.58026534927619,173.59587165109878,200.542268680176,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2,2019,supply,252,344,180,71.42857142857143,65.56188012306967,76.65176284856909,165.21593791013558,193.1624423783941,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2,2020,alle,253,640,212,83.79446640316206,78.75410158539898,87.82393483643055,199.24787701105942,222.1945551361693,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2,2020,demand,253,380,177,69.96047430830039,64.0475356351385,75.27633383038652,162.0402651569004,190.4491245908779,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2,2020,supply,253,260,153,60.47430830039526,54.336429446404196,66.29886839194062,137.4711664994026,167.73613703160976,1.0,2.8000000000000114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2,2021,alle,252,678,229,90.87301587301587,86.67740520480588,93.84121009294951,218.42706111611082,236.47984943423276,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2,2021,demand,252,346,172,68.25396825396825,62.26941148705978,73.6903584517436,156.91891694739064,185.6997032983939,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2,2021,supply,252,332,174,69.04761904761905,63.08961141042742,74.4336267865848,158.9858207542771,187.57273950219368,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2,2022,alle,251,572,219,87.25099601593625,82.5563221511002,90.82263308850733,207.2163685992615,227.9648090521534,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2,2022,demand,251,300,164,65.33864541832669,59.26006082674154,70.95480309544979,148.74275267512124,178.09655576957897,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2,2022,supply,251,272,159,63.34661354581673,57.22595839203349,69.06489722857455,143.63715556400408,173.35289204372214,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2,2023,alle,250,693,231,92.4,88.43586026895993,95.08083593382636,221.08965067239984,237.70208983456592,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2,2023,demand,250,358,173,69.2,63.22270749710638,74.59617380226854,158.05676874276594,186.49043450567135,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2,2023,supply,250,335,182,72.8,66.96994423569463,77.9399773073131,167.42486058923654,194.84994326828274,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2_uden_buffer,2016-2023,alle,2012,5615,1844,91.65009940357852,90.36051311959591,92.78094588087987,1818.0535239662697,1866.752631123303,3.0,5.0,26278.0,18736.0,531.0,2.02070172768095,1.857456707789229,2.197972438949564,6.0,0.022832787883400565,0.010464878283693966,0.04981042185277127,18736.0,12729.0,67.93872758326216,67.26682830934149,68.60327237838875,6007.0,392.0,6.525719993341102,5.928517880801792,7.178489918656387,14.22826967142423,36.12240616417455,85.86705374859916,1.0,3.0,8.0,0.0,0.0,0.01529692791897816,0.03636247247844475,0.09231622220124923,33.33333333333333,34.545415749281496,36.41054074004164,2.5,76.25000000000045,2587.0,46.07301869991095,44.7723806177124,47.37902633633683,684.0,84.0,11.0,7005.0,26.657279853870158,26.126108326128573,27.195275111854922,5.0,0.019027323236167137,0.008127600337013466,0.044537882948780666,1.0,0.003805464647233427,0.0006717611116638681,0.021554454771445873,14.22826967142423,36.12240616417455,85.86705374859916,0.0,1.0,1.75,74.75,1069.0,19.038290293855745,18.03269358315783,20.086222469516006,32.0
v2_uden_buffer,2016-2023,demand,2012,3023,1470,73.06163021868787,71.0805386124225,74.95482770764997,1430.1404368819408,1508.0911334779175,1.0,3.0,13368.0,9674.0,345.0,2.580789946140036,2.3253158583861464,2.86350918831678,5.0,0.037402752842609216,0.015977245046953876,0.08753474216378031,9674.0,6453.0,66.70456894769485,65.75899415276302,67.6368825388752,3221.0,198.0,6.1471592673082895,5.368752332182234,7.030041962868594,14.06020790311884,37.096418265150234,85.73101833654934,1.0,3.0,8.0,0.0,0.0,0.015321175796322084,0.0354077310270666,0.09341967982985631,33.33333333333333,34.51359103423555,36.44732266099521,2.75,91.0,1380.0,45.65001653986106,43.88103916005863,47.43003531879865,316.0,43.0,7.0,3344.0,25.014961101137043,24.28802993208919,25.75624765995811,5.0,0.037402752842609216,0.015977245046953876,0.08753474216378031,0.0,0.0,2.710505431213761e-18,0.02872797162996664,14.06020790311884,37.096418265150234,85.73101833654934,0.0,1.0,2.0,90.45000000000005,546.0,18.06152828316242,16.730977638599043,19.473147147231384,13.0
v2_uden_buffer,2016-2023,supply,2012,2592,1413,70.22862823061631,68.19363464941443,72.18652503220086,1372.0559291462184,1452.3928836478815,1.0,3.0,12910.0,9062.0,186.0,1.4407436096049573,1.2491575180653458,1.661219382713304,1.0,0.0077459333849728895,0.0013673605296094947,0.04386673065325975,9062.0,6276.0,69.25623482674906,68.29819698647486,70.19795382150527,2786.0,194.0,6.963388370423546,6.07630411195062,7.9689907409809555,14.456554249519847,35.26045267174484,85.95084907115779,1.0,3.0,8.0,0.0,0.0,0.015282016036986559,0.037251508029796904,0.09085919543340186,33.33333333333333,34.5750502676599,36.3619731811134,2.25,70.20000000000005,1207.0,46.56635802469136,44.6525317340459,48.490346872998664,368.0,41.0,4.0,3661.0,28.357862122385747,27.586878970326122,29.141720975562457,0.0,0.0,0.0,0.029746832752621785,1.0,0.0077459333849728895,0.0013673605296094947,0.04386673065325975,14.456554249519847,35.26045267174484,85.95084907115779,0.0,1.0,1.5,69.47500000000002,523.0,20.17746913580247,18.677121374655666,21.766082706753956,19.0
v2_uden_buffer,2016,alle,252,682,232,92.06349206349206,88.05999619777648,94.80382148729217,221.91119041839673,238.90563014797627,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2_uden_buffer,2016,demand,252,346,183,72.61904761904762,66.80485915898733,77.75398619996467,168.34824508064807,195.94004522391097,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2_uden_buffer,2016,supply,252,336,182,72.22222222222223,66.39000914968608,77.38710208016151,167.3028230572089,195.015497242007,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2_uden_buffer,2017,alle,251,681,231,92.03187250996017,88.01369607177347,94.78287909163394,220.9143771401514,237.9050265200012,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
