spor,tabel,noegle,stoerrelse,vaerdi
A,hovedtest,beta,mde_beta,0.055
A,hovedtest,beta,signaler_n,3349.0
A,hovedtest,beta,skygge_n,3286.0
A,hovedtest,beta,n,3286.0
A,hovedtest,beta,klynger_n,1095.0
A,hovedtest,beta,beta,-0.03420817148041083
A,hovedtest,beta,se,0.019206728663330935
A,hovedtest,beta,t,-1.7810514263014672
A,hovedtest,beta,df,1094.0
A,hovedtest,beta,ci95_lo,-0.07189436185543135
A,hovedtest,beta,ci95_hi,0.0034780188946096913
A,hovedtest,beta,p_ensidet,0.9624092766373589
A,hovedtest,beta,alfa,0.025
A,hovedtest,beta,signifikant,0.0
A,hovedtest,beta,skaering,0.03313111445731143
A,hovedtest_bedste_fald,beta,n,3286.0
A,hovedtest_bedste_fald,beta,klynger_n,1095.0
A,hovedtest_bedste_fald,beta,beta,-0.03120050459334063
A,hovedtest_bedste_fald,beta,se,0.019174609039883245
A,hovedtest_bedste_fald,beta,t,-1.6271781358589104
A,hovedtest_bedste_fald,beta,df,1094.0
A,hovedtest_bedste_fald,beta,ci95_lo,-0.0688236719379825
A,hovedtest_bedste_fald,beta,ci95_hi,0.006422662751301239
A,hovedtest_bedste_fald,beta,p_ensidet,0.9480063852304477
A,hovedtest_bedste_fald,beta,alfa,0.025
A,hovedtest_bedste_fald,beta,signifikant,0.0
A,hovedtest_bedste_fald,beta,skaering,0.03881710932377935
A,hovedtest_N1,beta,p5,-0.04527678543510565
A,hovedtest_N1,beta,p50,-0.005408055920160554
A,hovedtest_N1,beta,p95,0.0296559747527803
A,hovedtest_N1,beta,andel_ge_observeret,0.886
A,hovedtest_N1,beta,R,500.0
A,hovedtest_N1,beta,gyldige_n,500.0
A,score,0,handler_n,34.0
A,score,0,dage_med_handel_n,32.0
A,score,0,middel_R_brutto,0.6242536132585923
A,score,0,middel_R_netto,0.548477157724191
A,score,0,middel_R_netto_ci95_lo,0.0888461203406104
A,score,0,middel_R_netto_ci95_hi,1.0081081951077717
A,score,0,win_rate_pct_netto,38.23529411764706
A,score,0,win_rate_ci95_lo_pct,23.900183324508898
A,score,0,win_rate_ci95_hi_pct,54.9589826555693
A,score,0,holder_pct,67.6470588235294
A,score,0,holder_ci95_lo_pct,50.842894593908206
A,score,0,holder_ci95_hi_pct,80.8683564359745
A,score,0,tvetydige_n,0.0
A,score,0,tvetydige_pct,0.0
A,score,0,udfald_maal_pct,38.23529411764706
A,score,0,udfald_stop_pct,29.41176470588235
A,score,0,udfald_BE_pct,11.764705882352942
A,score,0,udfald_tidsexit_pct,20.58823529411765
A,score,0,udfald_censureret_pct,0.0
A,score,1,handler_n,649.0
A,score,1,dage_med_handel_n,477.0
A,score,1,middel_R_brutto,0.07777491503097007
A,score,1,middel_R_netto,0.006198293452734341
A,score,1,middel_R_netto_ci95_lo,-0.0873295605543585
A,score,1,middel_R_netto_ci95_hi,0.09972614745982719
A,score,1,win_rate_pct_netto,22.033898305084747
A,score,1,win_rate_ci95_lo_pct,19.014818358547966
