spor,tabel,periode,side,noegle,stoerrelse,vaerdi
A,filtre,alle,alle,f1_brud,signaler_n,3349.0
A,filtre,alle,alle,f1_brud,sande_n,2011.0
A,filtre,alle,alle,f1_brud,pct,60.04777545535981
A,filtre,alle,alle,f1_brud,ci95_lo_pct,58.378315047392945
A,filtre,alle,alle,f1_brud,ci95_hi_pct,61.69421174117511
A,filtre,alle,alle,f2_flip,signaler_n,3349.0
A,filtre,alle,alle,f2_flip,sande_n,325.0
A,filtre,alle,alle,f2_flip,pct,9.704389369961183
A,filtre,alle,alle,f2_flip,ci95_lo_pct,8.747514384592666
A,filtre,alle,alle,f2_flip,ci95_hi_pct,10.753600322175238
A,filtre,alle,alle,f3_sweep,signaler_n,3349.0
A,filtre,alle,alle,f3_sweep,sande_n,503.0
A,filtre,alle,alle,f3_sweep,pct,15.019408778739923
A,filtre,alle,alle,f3_sweep,ci95_lo_pct,13.849540412803288
A,filtre,alle,alle,f3_sweep,ci95_hi_pct,16.269433932493936
A,filtre,alle,alle,f4_inducement,signaler_n,3349.0
A,filtre,alle,alle,f4_inducement,sande_n,1213.0
A,filtre,alle,alle,f4_inducement,pct,36.21976709465512
A,filtre,alle,alle,f4_inducement,ci95_lo_pct,34.608591680417646
A,filtre,alle,alle,f4_inducement,ci95_hi_pct,37.86251942530549
A,filtre,alle,alle,f5_stakket,signaler_n,3349.0
A,filtre,alle,alle,f5_stakket,sande_n,978.0
A,filtre,alle,alle,f5_stakket,pct,29.20274708868319
A,filtre,alle,alle,f5_stakket,ci95_lo_pct,27.687309157004915
A,filtre,alle,alle,f5_stakket,ci95_hi_pct,30.76584118998571
A,filtre,alle,alle,f6_retning,signaler_n,3349.0
A,filtre,alle,alle,f6_retning,sande_n,1820.0
A,filtre,alle,alle,f6_retning,pct,54.34458047178262
A,filtre,alle,alle,f6_retning,ci95_lo_pct,52.65356317197105
A,filtre,alle,alle,f6_retning,ci95_hi_pct,56.02564231907399
A,filtre,alle,alle,f7_discount,signaler_n,3349.0
A,filtre,alle,alle,f7_discount,sande_n,2241.0
A,filtre,alle,alle,f7_discount,pct,66.91549716333233
A,filtre,alle,alle,f7_discount,ci95_lo_pct,65.30335999494848
A,filtre,alle,alle,f7_discount,ci95_hi_pct,68.48887306812377
A,filtre,alle,demand,f1_brud,signaler_n,1787.0
A,filtre,alle,demand,f1_brud,sande_n,1067.0
A,filtre,alle,demand,f1_brud,pct,59.709009513150534
A,filtre,alle,demand,f1_brud,ci95_lo_pct,57.41642715947146
A,filtre,alle,demand,f1_brud,ci95_hi_pct,61.95993908952675
A,filtre,alle,demand,f2_flip,signaler_n,1787.0
A,filtre,alle,demand,f2_flip,sande_n,162.0
A,filtre,alle,demand,f2_flip,pct,9.06547285954113
A,filtre,alle,demand,f2_flip,ci95_lo_pct,7.820605900955463
A,filtre,alle,demand,f2_flip,ci95_hi_pct,10.48595368900313
A,filtre,alle,demand,f3_sweep,signaler_n,1787.0
A,filtre,alle,demand,f3_sweep,sande_n,235.0
A,filtre,alle,demand,f3_sweep,pct,13.15053161723559
A,filtre,alle,demand,f3_sweep,ci95_lo_pct,11.662363521443714
A,filtre,alle,demand,f3_sweep,ci95_hi_pct,14.796788207862821
A,filtre,alle,demand,f4_inducement,signaler_n,1787.0
A,filtre,alle,demand,f4_inducement,sande_n,680.0
A,filtre,alle,demand,f4_inducement,pct,38.05260212646894
A,filtre,alle,demand,f4_inducement,ci95_lo_pct,35.82942684843736
A,filtre,alle,demand,f4_inducement,ci95_hi_pct,40.32703312757926
A,filtre,alle,demand,f5_stakket,signaler_n,1787.0
A,filtre,alle,demand,f5_stakket,sande_n,512.0
A,filtre,alle,demand,f5_stakket,pct,28.651371012870733
A,filtre,alle,demand,f5_stakket,ci95_lo_pct,26.60262406236838
A,filtre,alle,demand,f5_stakket,ci95_hi_pct,30.791706058710506
A,filtre,alle,demand,f6_retning,signaler_n,1787.0
A,filtre,alle,demand,f6_retning,sande_n,1012.0
A,filtre,alle,demand,f6_retning,pct,56.63122551762731
A,filtre,alle,demand,f6_retning,ci95_lo_pct,54.32167494590345
A,filtre,alle,demand,f6_retning,ci95_hi_pct,58.912327362490124
A,filtre,alle,demand,f7_discount,signaler_n,1787.0
A,filtre,alle,demand,f7_discount,sande_n,1137.0
A,filtre,alle,demand,f7_discount,pct,63.626189143816454
A,filtre,alle,demand,f7_discount,ci95_lo_pct,61.36868282903236
A,filtre,alle,demand,f7_discount,ci95_hi_pct,65.8252375261899
A,filtre,alle,supply,f1_brud,signaler_n,1562.0
A,filtre,alle,supply,f1_brud,sande_n,944.0
A,filtre,alle,supply,f1_brud,pct,60.43533930857875
A,filtre,alle,supply,f1_brud,ci95_lo_pct,57.98760723248315
A,filtre,alle,supply,f1_brud,ci95_hi_pct,62.83186961580043
A,filtre,alle,supply,f2_flip,signaler_n,1562.0
A,filtre,alle,supply,f2_flip,sande_n,163.0
A,filtre,alle,supply,f2_flip,pct,10.435339308578746
