tid_et,fra_instrument_id,til_instrument_id,spring_ticks,minutter_siden_forrige_bar
2010-06-13 20:00:00-04:00,6641,26715,-9.0,2.0
2010-09-12 20:00:00-04:00,26715,3088,-10.0,2.0
2010-12-12 19:00:00-05:00,3088,93735,-4.0,2.0
2011-03-13 20:00:00-04:00,93735,30668,-14.0,2.0
2011-06-12 20:00:00-04:00,30668,56972,-15.0,1.0
2011-09-11 20:00:00-04:00,56972,12038,-18.0,2.0
2011-12-11 19:00:00-05:00,12038,8870,-14.0,1.0
2012-03-12 20:00:00-04:00,8870,20924,-17.0,1.0
2012-06-10 20:00:00-04:00,20924,57494,-18.0,1.0
2012-09-16 20:00:00-04:00,57494,10016,-22.0,5.0
2012-12-16 19:00:00-05:00,10016,36931,-18.0,1.0
2013-03-11 20:00:00-04:00,36931,11518,-16.0,1.0
2013-06-16 20:00:00-04:00,11518,17591,-24.0,4.0
2013-09-15 20:00:00-04:00,17591,28499,-23.0,3.0
2013-12-15 19:00:00-05:00,28499,382251,-18.0,2.0
2014-03-16 20:00:00-04:00,382251,8223,-28.0,2.0
2014-06-15 20:00:00-04:00,8223,83745,-29.0,3.0
2014-09-14 20:00:00-04:00,83745,28097,-30.0,1.0
2014-12-14 19:00:00-05:00,28097,50207,-13.0,1.0
2015-03-15 20:00:00-04:00,50207,58385,-25.0,4.0
2015-06-14 20:00:00-04:00,58385,2913,-29.0,1.0
2015-09-13 20:00:00-04:00,2913,12809,-41.0,1.0
2015-12-13 19:00:00-05:00,12809,49734,-25.0,1.0
2016-03-13 20:00:00-04:00,49734,765,-39.0,1.0
2016-06-12 20:00:00-04:00,765,2563,-32.0,1.0
2016-09-11 20:00:00-04:00,2563,2887,-16.0,1.0
2016-12-12 19:00:00-05:00,2887,35888,-8.0,1.0
2017-03-12 20:00:00-04:00,35888,6398,16.0,1.0
2017-06-11 20:00:00-04:00,6398,26054,32.0,1.0
2017-09-10 20:00:00-04:00,26054,15466,30.0,1.0
2017-12-10 19:00:00-05:00,15466,16210,76.0,1.0
2018-03-11 20:00:00-04:00,16210,23520,105.0,1.0
2018-06-10 20:00:00-04:00,23520,47511,99.0,1.0
2018-09-16 20:00:00-04:00,47511,16041,115.0,1.0
2018-12-16 19:00:00-05:00,16041,15657,90.0,1.0
2019-03-10 20:00:00-04:00,15657,9166,109.0,1.0
2019-06-18 20:00:00-04:00,9166,36742,112.0,1.0
2019-09-15 20:00:00-04:00,36742,15907,88.0,1.0
2019-12-15 19:00:00-05:00,15907,10204,105.0,1.0
2020-03-17 20:00:00-04:00,10204,16908,-56.0,1.0
2020-06-16 20:00:00-04:00,16908,14028,-53.0,2.0
2020-09-15 20:00:00-04:00,14028,16337,-60.0,1.0
2020-12-15 19:00:00-05:00,16337,4378,15.0,1.0
2021-03-16 20:00:00-04:00,4378,2786,-42.0,1.0
2021-06-15 20:00:00-04:00,2786,828,-30.0,1.0
2021-09-14 20:00:00-04:00,828,2770,-28.0,1.0
2021-12-12 19:00:00-05:00,2770,3541,0.0,1.0
2022-03-15 20:00:00-04:00,3541,2895,-16.0,1.0
2022-06-14 20:00:00-04:00,2895,10391,133.0,1.0
2022-09-13 20:00:00-04:00,10391,13613,324.0,1.0
2022-12-13 19:00:00-05:00,13613,20631,482.0,1.0
2023-03-14 20:00:00-04:00,20631,3522,517.0,1.0
2023-06-13 20:00:00-04:00,3522,2130,738.0,1.0
2023-09-12 20:00:00-04:00,2130,260937,777.0,1.0
2023-12-12 19:00:00-05:00,260937,750,853.0,1.0
2024-03-12 20:00:00-04:00,750,13743,986.0,2.0
2024-06-18 20:00:00-04:00,13743,4358,1111.0,1.0
2024-09-17 20:00:00-04:00,4358,106364,948.0,1.0
2024-12-18 19:00:00-05:00,106364,42288528,1092.0,1.0
2025-03-19 20:00:00-04:00,42288528,42005804,832.0,1.0
2025-06-17 20:00:00-04:00,42005804,42008487,898.0,1.0
2025-09-17 20:00:00-04:00,42008487,158704,971.0,1.0
2025-12-16 19:00:00-05:00,158704,42002475,951.0,1.0
2026-03-17 20:00:00-04:00,42002475,42004058,872.0,1.0
2026-06-16 20:00:00-04:00,42004058,42004177,1271.0,1.0
