session,blok,n,gns_ticks,p10_ticks,p50_ticks,p90_ticks,andel_1_tick_pct
ETH,00:00,3900.0,2.3497435897435897,2.0,2.0,3.0,5.102564102564103
ETH,00:30,3900.0,2.3464102564102562,2.0,2.0,3.0,3.871794871794872
ETH,01:00,3900.0,2.3835897435897437,2.0,2.0,3.0,4.102564102564102
ETH,01:30,3900.0,2.4217948717948716,2.0,2.0,3.0,3.282051282051282
ETH,02:00,3900.0,2.448974358974359,2.0,2.0,3.0,2.9487179487179485
ETH,02:30,3900.0,2.506666666666667,2.0,2.0,3.0,2.3846153846153846
ETH,03:00,3900.0,2.649230769230769,2.0,3.0,3.0,1.0
ETH,03:30,3900.0,2.638974358974359,2.0,3.0,3.0,1.2564102564102564
ETH,04:00,3900.0,2.7258974358974357,2.0,3.0,3.0,0.8717948717948718
ETH,04:30,3900.0,2.6597435897435897,2.0,3.0,3.0,1.4615384615384615
ETH,05:00,3900.0,2.667692307692308,2.0,3.0,3.0,1.2564102564102564
ETH,05:30,3900.0,2.6074358974358973,2.0,3.0,3.0,1.6153846153846154
ETH,06:00,3900.0,2.625897435897436,2.0,3.0,3.0,1.3846153846153846
ETH,06:30,3900.0,2.6428205128205127,2.0,3.0,3.0,1.4615384615384615
ETH,07:00,3899.0,2.7150551423441907,2.0,3.0,3.0,1.5132085150038472
ETH,07:30,3900.0,2.654871794871795,2.0,3.0,3.0,1.3076923076923077
ETH,08:00,3919.0,3.1582036233733097,2.0,3.0,4.0,1.658586374075019
ETH,08:30,3900.0,2.4894871794871793,2.0,2.0,3.0,4.794871794871795
ETH,09:00,3889.0,2.1563383903317046,1.0,2.0,3.0,10.20827976343533
ETH,09:30,121.0,2.2644628099173554,2.0,2.0,3.0,9.090909090909092
ETH,10:00,120.0,2.0083333333333333,2.0,2.0,2.0,7.5
ETH,10:30,122.0,2.5163934426229506,1.0,2.0,2.0,15.573770491803279
ETH,11:00,120.0,1.85,1.0,2.0,2.0,16.666666666666664
ETH,11:30,120.0,1.9333333333333333,2.0,2.0,2.0,7.5
ETH,12:00,120.0,2.033333333333333,2.0,2.0,3.0,9.166666666666666
ETH,12:30,120.0,2.783333333333333,2.0,2.0,4.0,5.833333333333333
ETH,13:00,2.0,65.0,61.8,65.0,68.2,0.0
ETH,16:00,3750.0,2.3122666666666665,1.0,2.0,3.0,11.386666666666667
ETH,16:30,3750.0,2.436533333333333,1.0,2.0,4.0,10.4
ETH,17:00,142.0,54.070422535211264,21.0,48.5,94.80000000000001,0.7042253521126761
ETH,17:30,61.0,34.114754098360656,4.0,30.0,71.0,3.278688524590164
ETH,18:00,3900.0,3.5302564102564102,2.0,3.0,5.0,0.5641025641025641
ETH,18:30,3900.0,3.0041025641025643,2.0,3.0,4.0,0.8974358974358974
ETH,19:00,3900.0,2.8853846153846154,2.0,3.0,4.0,0.8461538461538461
ETH,19:30,3900.0,2.7146153846153847,2.0,3.0,3.0,2.2820512820512824
ETH,20:00,3900.0,2.623846153846154,2.0,3.0,3.0,2.1794871794871793
ETH,20:30,3900.0,2.528974358974359,2.0,2.0,3.0,2.435897435897436
ETH,21:00,3900.0,2.513076923076923,2.0,2.0,3.0,3.1025641025641026
ETH,21:30,3900.0,2.4556410256410257,2.0,2.0,3.0,3.3846153846153846
ETH,22:00,3900.0,2.4294871794871793,2.0,2.0,3.0,3.5641025641025643
ETH,22:30,3900.0,2.3984615384615386,2.0,2.0,3.0,4.256410256410256
ETH,23:00,3900.0,2.354102564102564,2.0,2.0,3.0,4.358974358974359
ETH,23:30,3900.0,2.364871794871795,2.0,2.0,3.0,4.282051282051282
RTH,09:30,3750.0,2.307733333333333,1.0,2.0,3.0,11.92
RTH,10:00,3749.0,2.014670578821019,1.0,2.0,3.0,16.93785009335823
RTH,10:30,3749.0,1.9181114963990398,1.0,2.0,3.0,22.619365164043746
RTH,11:00,3750.0,1.8584,1.0,2.0,2.0,23.919999999999998
RTH,11:30,3750.0,1.8309333333333333,1.0,2.0,2.0,26.53333333333333
RTH,12:00,3750.0,1.7962666666666667,1.0,2.0,2.0,29.2
RTH,12:30,3749.0,1.7940784209122433,1.0,2.0,2.0,29.554547879434516
RTH,13:00,3750.0,1.8093333333333332,1.0,2.0,2.0,28.186666666666664
RTH,13:30,3750.0,1.8170666666666666,1.0,2.0,2.0,29.62666666666667
RTH,14:00,3750.0,1.7922666666666667,1.0,2.0,2.0,30.42666666666667
RTH,14:30,3750.0,1.7848,1.0,2.0,2.0,31.2
RTH,15:00,3750.0,1.7682666666666667,1.0,2.0,2.0,32.800000000000004
RTH,15:30,3750.0,1.8272,1.0,2.0,2.0,29.226666666666667
