kontrakter,stop_ATR,R_pr_kontrakt_usd,risiko_pr_handel_usd,risiko_pct_af_MLL,omk_R_netto,be_WR_pct,antaget_WR_pct,edge_pp,bestaa_pct_netto_opt,bestaa_CI_netto_opt,ruin_pct_netto_opt,ruin_CI_netto_opt,uafgjort_pct_netto_opt,median_dage_bestaaet,bestaa_pct_netto_pess,bestaa_CI_netto_pess,ruin_pct_netto_pess,ruin_CI_netto_pess,uafgjort_pct_netto_pess,bestaa_pct_brutto_opt,bestaa_CI_brutto_opt,ruin_pct_brutto_opt,ruin_CI_brutto_opt,uafgjort_pct_brutto_opt,bestaa_pct_brutto_pess,bestaa_CI_brutto_pess,ruin_pct_brutto_pess,ruin_CI_brutto_pess,uafgjort_pct_brutto_pess
1,0.5,49.79,52.27,2.61,0.0496,34.99,34.0,-0.99,1.44,"[1.3, 1.6]",41.49,"[40.8, 42.2]",57.08,157.0,1.44,"[1.3, 1.6]",43.53,"[42.8, 44.2]",55.03,5.79,"[5.5, 6.1]",19.05,"[18.5, 19.6]",75.16,5.79,"[5.5, 6.1]",20.58,"[20.0, 21.1]",73.62
1,0.5,49.79,52.27,2.61,0.0496,34.99,37.0,2.01,15.85,"[15.3, 16.4]",9.67,"[9.3, 10.1]",74.48,155.0,15.85,"[15.3, 16.4]",10.73,"[10.3, 11.2]",73.42,35.8,"[35.1, 36.5]",2.67,"[2.5, 2.9]",61.52,35.8,"[35.1, 36.5]",3.04,"[2.8, 3.3]",61.16
1,0.5,49.79,52.27,2.61,0.0496,34.99,40.0,5.01,57.27,"[56.6, 58.0]",1.11,"[1.0, 1.3]",41.61,141.0,57.27,"[56.6, 58.0]",1.31,"[1.2, 1.5]",41.41,79.47,"[78.9, 80.0]",0.17,"[0.1, 0.2]",20.36,79.47,"[78.9, 80.0]",0.2,"[0.2, 0.3]",20.33
1,0.5,49.79,52.27,2.61,0.0496,34.99,45.0,10.01,98.53,"[98.3, 98.7]",0.0,"[0.0, 0.0]",1.48,96.0,98.53,"[98.3, 98.7]",0.0,"[0.0, 0.0]",1.48,99.72,"[99.6, 99.8]",0.0,"[0.0, 0.0]",0.28,99.72,"[99.6, 99.8]",0.0,"[0.0, 0.0]",0.28
1,0.75,74.69,77.16,3.86,0.0331,34.44,34.0,-0.44,10.69,"[10.3, 11.1]",63.85,"[63.2, 64.5]",25.45,129.0,10.55,"[10.1, 11.0]",66.7,"[66.0, 67.4]",22.75,20.18,"[19.6, 20.7]",48.45,"[47.8, 49.1]",31.38,19.96,"[19.4, 20.5]",51.3,"[50.6, 52.0]",28.73
1,0.75,74.69,77.16,3.86,0.0331,34.44,37.0,2.56,47.23,"[46.5, 47.9]",24.53,"[23.9, 25.1]",28.24,122.0,46.85,"[46.2, 47.5]",27.05,"[26.4, 27.7]",26.1,63.1,"[62.4, 63.8]",14.65,"[14.2, 15.1]",22.25,62.65,"[62.0, 63.3]",16.43,"[15.9, 17.0]",20.92
1,0.75,74.69,77.16,3.86,0.0331,34.44,40.0,5.56,86.02,"[85.5, 86.5]",5.28,"[5.0, 5.6]",8.71,99.0,85.59,"[85.1, 86.1]",6.18,"[5.9, 6.5]",8.23,93.21,"[92.9, 93.6]",2.62,"[2.4, 2.8]",4.17,92.8,"[92.4, 93.1]",3.31,"[3.1, 3.6]",3.9
1,0.75,74.69,77.16,3.86,0.0331,34.44,45.0,10.56,99.72,"[99.6, 99.8]",0.2,"[0.1, 0.3]",0.08,61.0,99.69,"[99.6, 99.8]",0.24,"[0.2, 0.3]",0.07,99.86,"[99.8, 99.9]",0.12,"[0.1, 0.2]",0.02,99.84,"[99.8, 99.9]",0.14,"[0.1, 0.2]",0.01
1,1.0,99.59,102.06,5.1,0.0248,34.16,34.0,-0.16,21.27,"[20.7, 21.8]",72.08,"[71.5, 72.7]",6.65,96.0,20.45,"[19.9, 21.0]",74.26,"[73.6, 74.9]",5.29,30.86,"[30.2, 31.5]",60.8,"[60.1, 61.5]",8.35,29.66,"[29.0, 30.3]",63.63,"[63.0, 64.3]",6.7
1,1.0,99.59,102.06,5.1,0.0248,34.16,37.0,2.84,59.38,"[58.7, 60.1]",34.55,"[33.9, 35.2]",6.07,89.0,57.67,"[57.0, 58.4]",37.56,"[36.9, 38.2]",4.77,70.12,"[69.5, 70.8]",24.73,"[24.1, 25.3]",5.16,68.14,"[67.5, 68.8]",27.67,"[27.1, 28.3]",4.2
1,1.0,99.59,102.06,5.1,0.0248,34.16,40.0,5.84,88.61,"[88.2, 89.0]",10.09,"[9.7, 10.5]",1.3,69.0,87.05,"[86.6, 87.5]",11.84,"[11.4, 12.3]",1.11,92.79,"[92.4, 93.1]",6.41,"[6.1, 6.8]",0.8,91.47,"[91.1, 91.9]",7.86,"[7.5, 8.2]",0.67
1,1.0,99.59,102.06,5.1,0.0248,34.16,45.0,10.84,99.08,"[98.9, 99.2]",0.9,"[0.8, 1.0]",0.01,44.0,98.83,"[98.7, 99.0]",1.16,"[1.0, 1.3]",0.01,99.47,"[99.4, 99.6]",0.53,"[0.4, 0.6]",0.0,99.27,"[99.1, 99.4]",0.73,"[0.6, 0.9]",0.0
2,0.5,49.79,104.53,5.23,0.0496,34.99,34.0,-0.99,14.15,"[13.7, 14.6]",80.83,"[80.3, 81.4]",5.02,94.0,13.6,"[13.1, 14.1]",82.54,"[82.0, 83.1]",3.86,30.96,"[30.3, 31.6]",61.05,"[60.4, 61.7]",7.99,29.71,"[29.1, 30.4]",63.88,"[63.2, 64.5]",6.41
