kontrakter,stop_ATR,WR_pct,omk,brudmodel,maal,pct_v1,CI95_lav_v1,CI95_hoej_v1,pct_v2,afvigelse_pp,inden_for_CI,identisk
1,0.5,34.0,netto,opt,bestaa,1.44,1.284,1.615,1.435,-0.005,True,True
1,0.5,34.0,netto,opt,ruin,41.49,40.809,42.174,41.49,0.0,True,True
1,0.5,34.0,netto,opt,uafgjort,57.08,56.393,57.765,57.075,-0.005,True,True
1,0.5,34.0,netto,pess,bestaa,1.44,1.284,1.615,1.435,-0.005,True,True
1,0.5,34.0,netto,pess,ruin,43.53,42.844,44.218,43.535,0.005,True,True
1,0.5,34.0,netto,pess,uafgjort,55.03,54.34,55.718,55.03,0.0,True,True
1,0.5,34.0,brutto,opt,bestaa,5.79,5.475,6.122,5.795,0.005,True,True
1,0.5,34.0,brutto,opt,ruin,19.05,18.512,19.6,19.05,0.0,True,True
1,0.5,34.0,brutto,opt,uafgjort,75.16,74.556,75.754,75.155,-0.005,True,True
1,0.5,34.0,brutto,pess,bestaa,5.79,5.475,6.122,5.795,0.005,True,True
1,0.5,34.0,brutto,pess,ruin,20.58,20.025,21.146,20.58,0.0,True,True
1,0.5,34.0,brutto,pess,uafgjort,73.62,73.005,74.226,73.625,0.005,True,True
1,0.5,37.0,netto,opt,bestaa,15.85,15.35,16.363,15.845,-0.005,True,True
1,0.5,37.0,netto,opt,ruin,9.67,9.268,10.087,9.67,0.0,True,True
1,0.5,37.0,netto,opt,uafgjort,74.48,73.871,75.079,74.485,0.005,True,True
1,0.5,37.0,netto,pess,bestaa,15.85,15.35,16.363,15.845,-0.005,True,True
1,0.5,37.0,netto,pess,ruin,10.73,10.309,11.166,10.73,0.0,True,True
1,0.5,37.0,netto,pess,uafgjort,73.42,72.803,74.028,73.425,0.005,True,True
1,0.5,37.0,brutto,opt,bestaa,35.8,35.138,36.467,35.805,0.005,True,True
1,0.5,37.0,brutto,opt,ruin,2.67,2.456,2.903,2.675,0.005,True,True
1,0.5,37.0,brutto,opt,uafgjort,61.52,60.844,62.192,61.52,0.0,True,True
1,0.5,37.0,brutto,pess,bestaa,35.8,35.138,36.467,35.805,0.005,True,True
1,0.5,37.0,brutto,pess,ruin,3.04,2.811,3.287,3.04,0.0,True,True
1,0.5,37.0,brutto,pess,uafgjort,61.16,60.482,61.833,61.155,-0.005,True,True
1,0.5,40.0,netto,opt,bestaa,57.27,56.583,57.954,57.275,0.005,True,True
1,0.5,40.0,netto,opt,ruin,1.11,0.974,1.265,1.115,0.005,True,True
1,0.5,40.0,netto,opt,uafgjort,41.61,40.929,42.295,41.61,0.0,True,True
1,0.5,40.0,netto,pess,bestaa,57.27,56.583,57.954,57.275,0.005,True,True
1,0.5,40.0,netto,pess,ruin,1.31,1.162,1.477,1.315,0.005,True,True
1,0.5,40.0,netto,pess,uafgjort,41.41,40.729,42.094,41.41,0.0,True,True
