aar,session,n,gns_ticks,p10_ticks,p50_ticks,p90_ticks,andel_1_tick_pct
2019,ETH,704455.0,1.986700415611267,1.0,2.0,3.0,22.151876273147327
2019,RTH,280786.0,1.6481555700302124,1.0,2.0,2.0,38.76689008711261
2020,ETH,702692.0,2.0690529346466064,1.0,2.0,3.0,24.840612957028117
2020,RTH,280765.0,1.8341922760009766,1.0,2.0,3.0,36.25131337595498
2021,ETH,707796.0,2.146118402481079,1.0,2.0,3.0,11.201673928646107
2021,RTH,280800.0,1.7693554162979126,1.0,2.0,2.0,29.13782051282051
2022,ETH,475187.0,2.0561883449554443,1.0,2.0,3.0,15.552614023531788
2022,RTH,187195.0,1.811180830001831,1.0,2.0,2.0,25.02417265418414
2023,ETH,712783.0,1.7383396625518799,1.0,2.0,2.0,28.767380815760195
2023,RTH,280795.0,1.4386723041534424,1.0,1.0,2.0,56.748873733506656
2024,ETH,712756.0,2.262071371078491,1.0,2.0,3.0,10.343371364113384
2024,RTH,280800.0,1.7321546077728271,1.0,2.0,2.0,30.251424501424502
2025,ETH,712759.0,2.437819719314575,2.0,2.0,4.0,8.240092373438989
2025,RTH,280760.0,1.8526748418807983,1.0,2.0,2.0,24.382034477845846
2026,ETH,712763.0,2.5840818881988525,2.0,3.0,3.0,3.658298761299338
2026,RTH,280775.0,1.8064037561416626,1.0,2.0,2.0,31.372807408066954
