session,blok_et,n,gns_ticks,p10_ticks,p50_ticks,p90_ticks,andel_1_tick_pct
ETH,00:00,165600.0,2.0042028427124023,1.0,2.0,3.0,19.71557971014493
ETH,00:30,165600.0,2.0053322315216064,1.0,2.0,3.0,18.98490338164251
ETH,01:00,165600.0,2.04152774810791,1.0,2.0,3.0,17.667270531400966
ETH,01:30,165600.0,2.0648913383483887,1.0,2.0,3.0,17.13526570048309
ETH,02:00,165600.0,2.1238043308258057,1.0,2.0,3.0,15.270531400966183
ETH,02:30,165600.0,2.166080951690674,1.0,2.0,3.0,13.957125603864734
ETH,03:00,165600.0,2.233605146408081,1.0,2.0,3.0,12.184782608695652
ETH,03:30,165600.0,2.213273048400879,1.0,2.0,3.0,12.760869565217392
ETH,04:00,165600.0,2.2270169258117676,1.0,2.0,3.0,13.46376811594203
ETH,04:30,165600.0,2.1942391395568848,1.0,2.0,3.0,13.794082125603865
ETH,05:00,165600.0,2.18519926071167,1.0,2.0,3.0,14.477657004830919
ETH,05:30,165590.0,2.168095827102661,1.0,2.0,3.0,14.479135213479074
ETH,06:00,165600.0,2.1748671531677246,1.0,2.0,3.0,14.695652173913043
ETH,06:30,165600.0,2.1381402015686035,1.0,2.0,3.0,15.415458937198068
ETH,07:00,165600.0,2.118134021759033,1.0,2.0,3.0,16.245169082125603
ETH,07:30,165600.0,2.101334571838379,1.0,2.0,3.0,16.309178743961354
ETH,08:00,165600.0,2.172983169555664,1.0,2.0,3.0,15.830917874396135
ETH,08:30,165575.0,2.143934726715088,1.0,2.0,3.0,17.78891740902914
ETH,09:00,165600.0,1.946394920349121,1.0,2.0,3.0,21.196859903381643
ETH,16:00,142228.0,2.320197105407715,1.0,2.0,3.0,19.089771353038785
ETH,16:30,165570.0,2.30027174949646,1.0,2.0,3.0,15.999275231020112
ETH,18:00,165443.0,2.909419059753418,2.0,3.0,4.0,7.356612247118342
ETH,18:30,165595.0,2.3901989459991455,1.0,2.0,3.0,11.13801745221776
ETH,19:00,165600.0,2.2855312824249268,1.0,2.0,3.0,11.63526570048309
ETH,19:30,165590.0,2.2186362743377686,1.0,2.0,3.0,13.077480524186244
ETH,20:00,165600.0,2.1600725650787354,1.0,2.0,3.0,14.60990338164251
ETH,20:30,165600.0,2.0975182056427,1.0,2.0,3.0,16.257246376811594
ETH,21:00,165600.0,2.101249933242798,1.0,2.0,3.0,16.039251207729468
ETH,21:30,165600.0,2.086630344390869,1.0,2.0,3.0,16.005434782608695
ETH,22:00,165600.0,2.0829529762268066,1.0,2.0,3.0,16.64915458937198
ETH,22:30,165600.0,2.0354831218719482,1.0,2.0,3.0,17.84601449275362
ETH,23:00,165600.0,2.0380375385284424,1.0,2.0,3.0,18.29951690821256
ETH,23:30,165600.0,2.0192148685455322,1.0,2.0,3.0,19.030193236714975
RTH,09:30,165595.0,1.9258612394332886,1.0,2.0,3.0,25.310546816027053
RTH,10:00,165531.0,1.8679461479187012,1.0,2.0,2.0,29.994381717019774
RTH,10:30,165600.0,1.727342963218689,1.0,2.0,2.0,34.285628019323674
RTH,11:00,165585.0,1.7135488986968994,1.0,2.0,2.0,35.18857384424918
RTH,11:30,165600.0,1.696099042892456,1.0,2.0,2.0,35.8768115942029
RTH,12:00,165600.0,1.6819746494293213,1.0,2.0,2.0,36.44806763285024
RTH,12:30,165590.0,1.678362250328064,1.0,2.0,2.0,37.469050063409625
RTH,13:00,165590.0,1.6932907104492188,1.0,2.0,2.0,35.82583489341144
RTH,13:30,165600.0,1.6902837753295898,1.0,2.0,2.0,36.582729468599034
RTH,14:00,165590.0,1.7203212976455688,1.0,2.0,2.0,35.03713992390845
RTH,14:30,165600.0,1.7053985595703125,1.0,2.0,2.0,35.44565217391305
RTH,15:00,165600.0,1.6879106760025024,1.0,2.0,2.0,36.07971014492753
RTH,15:30,165595.0,1.745294213294983,1.0,2.0,2.0,33.419487303360604
